"ALGI20TEC5HDTA      ",74645,"ALFA ROMEO","GIULIETTA","GIULIETTA DIESEL HATCHBACK",2010,,"Tecnica","2.0 JTDM-2 175 Tecnica 5dr TCT",2016,,"Y"
"ALGI20SPE5HDTA      ",74483,"ALFA ROMEO","GIULIETTA","GIULIETTA DIESEL HATCHBACK",2010,,"Speciale","2.0 JTDM-2 175 Speciale 5dr TCT",2016,,"Y"
"ALGU20   4SPTA      ",76717,"ALFA ROMEO","GIULIA","GIULIA SALOON",2016,,,"2.0 TB 4dr Auto",2016,,"Y"
"ALGU20SUP4SPTA      ",76718,"ALFA ROMEO","GIULIA","GIULIA SALOON",2016,,"Super","2.0 TB Super 4dr Auto",2016,,"Y"
"ALGU20SUL4SPTA      ",78804,"ALFA ROMEO","GIULIA","GIULIA SALOON",2016,,"Super","2.0 TB Super 4dr Auto [Lusso]",2016,,"Y"
"ALGU20VE84SPTA      ",78762,"ALFA ROMEO","GIULIA","GIULIA SALOON",2016,,"Veloce","2.0 TB 280 Veloce 4dr Auto",2017,,"Y"
"ALGU29   4SPTA      ",76488,"ALFA ROMEO","GIULIA","GIULIA SALOON",2016,,"Quadrifoglio","2.9 V6 BiTurbo Quadrifoglio 4dr Auto",2016,,"Y"
"ALGU21SUP4SDTA      ",76719,"ALFA ROMEO","GIULIA","GIULIA DIESEL SALOON",2016,,"Super","2.2 JTDM-2 Super 4dr Auto",2016,,"Y"
"ALGU21SUL4SDTA      ",78805,"ALFA ROMEO","GIULIA","GIULIA DIESEL SALOON",2016,,"Super","2.2 JTDM-2 Super 4dr Auto [Lusso]",2016,,"Y"
"ALGU21TEC4SDTA      ",76725,"ALFA ROMEO","GIULIA","GIULIA DIESEL SALOON",2016,,"Tecnica","2.2 JTDM-2 Tecnica 4dr Auto",2016,,"Y"
"ALGU21SU84SDTA      ",76720,"ALFA ROMEO","GIULIA","GIULIA DIESEL SALOON",2016,,"Super","2.2 JTDM-2 180 Super 4dr Auto",2016,,"Y"
"ALGU21S8L4SDTA      ",78806,"ALFA ROMEO","GIULIA","GIULIA DIESEL SALOON",2016,,"Super","2.2 JTDM-2 180 Super 4dr Auto [Lusso]",2016,,"Y"
"ALGU21TE84SDTA      ",76724,"ALFA ROMEO","GIULIA","GIULIA DIESEL SALOON",2016,,"Tecnica","2.2 JTDM-2 180 Tecnica 4dr Auto",2016,,"Y"
"ALGU21SPE4SDTA      ",76723,"ALFA ROMEO","GIULIA","GIULIA DIESEL SALOON",2016,,"Speciale","2.2 JTDM-2 180 Speciale 4dr Auto",2016,,"Y"
"ALST20   5EPTA4     ",80737,"ALFA ROMEO","STELVIO","STELVIO ESTATE",2017,,,"2.0 Turbo 200 5dr Auto",2017,,"Y"
"ALST20SUP5EPTA4     ",80738,"ALFA ROMEO","STELVIO","STELVIO ESTATE",2017,,"Super","2.0 Turbo 200 Super 5dr Auto",2017,,"Y"
"ALST20SPE5EPTA4     ",81337,"ALFA ROMEO","STELVIO","STELVIO ESTATE",2017,,"Speciale","2.0 Turbo 280 Speciale 5dr Auto",2017,,"Y"
"ALST296QU5EPTA4     ",84224,"ALFA ROMEO","STELVIO","STELVIO ESTATE",2017,,"Quadrifoglio","2.9 V6 BiTurbo 510 Quadrifoglio 5dr Auto",2018,,"Y"
"ALST22   5EDTA      ",80740,"ALFA ROMEO","STELVIO","STELVIO DIESEL ESTATE",2017,,,"2.2 D 180 5dr Auto RWD",2017,,"Y"
"ALST22SUP5EDTA      ",80741,"ALFA ROMEO","STELVIO","STELVIO DIESEL ESTATE",2017,,"Super","2.2 D 180 Super 5dr Auto RWD",2017,,"Y"
"ALST22SUP5EDTA4     ",80739,"ALFA ROMEO","STELVIO","STELVIO DIESEL ESTATE",2017,,"Super","2.2 D 180 Super 5dr Auto",2017,,"Y"
"ALST22SPE5EDTA4     ",81338,"ALFA ROMEO","STELVIO","STELVIO DIESEL ESTATE",2017,,"Speciale","2.2 D 180 Speciale 5dr Auto",2017,,"Y"
"ALST22SP25EDTA4     ",80743,"ALFA ROMEO","STELVIO","STELVIO DIESEL ESTATE",2017,,"Super","2.2 D 210 Super 5dr Auto",2017,,"Y"
"ALST222SP5EDTA4     ",81339,"ALFA ROMEO","STELVIO","STELVIO DIESEL ESTATE",2017,,"Speciale","2.2 D 210 Speciale 5dr Auto",2017,,"Y"
"ALST20MLO5EPTA4     ",80745,"ALFA ROMEO","STELVIO","STELVIO ESTATE SPECIAL EDITION",2017,,"Milano","2.0 Turbo 280 Milano 5dr Auto",2017,,"Y"
"ALST22MLO5EDTA4     ",80746,"ALFA ROMEO","STELVIO","STELVIO ESTATE SPECIAL EDITION",2017,,"Milano","2.2 D 210 Milano 5dr Auto",2017,,"Y"
"AL4C17   2CPTA      ",65177,"ALFA ROMEO","4C","4C COUPE",2014,,,"1.75 TBi 2dr TCT",2014,,"Y"
"AL4C17   2VPTA      ",70765,"ALFA ROMEO","4C","4C SPIDER",2015,,,"1.75 TBi 2dr TCT",2015,,"Y"
"AL4C1750A2VPTA      ",73899,"ALFA ROMEO","4C","4C SPIDER SPECIAL EDITION",2016,,"50th Anniversario","1.75 TBi 50th Anniversario 2dr TCT",2016,,"Y"
"ASVV47S  2CPIM      ",57869,"ASTON MARTIN","VANTAGE","V8 VANTAGE COUPE",2005,,"S","S 2dr",2012,,"Y"
"ASVV47S  2CPIA      ",51281,"ASTON MARTIN","VANTAGE","V8 VANTAGE COUPE",2005,,"S","S 2dr Sportshift",2011,,"Y"
"ASVV40   2CPIA  1   ",82895,"ASTON MARTIN","VANTAGE","V8 VANTAGE COUPE",2018,,,"2dr ZF 8 Speed Auto",2018,,"Y"
"ASVV47AMR2CPIM      ",82364,"ASTON MARTIN","VANTAGE","V8 VANTAGE COUPE SPECIAL EDITIONS",2010,,"AMR","AMR 2dr",2017,,"Y"
"ASVV47AMR2CPIA      ",82365,"ASTON MARTIN","VANTAGE","V8 VANTAGE COUPE SPECIAL EDITIONS",2010,,"AMR","AMR 2dr Sportshift II",2017,,"Y"
"ASVV47S  2RPIM      ",57870,"ASTON MARTIN","VANTAGE","V8 VANTAGE ROADSTER",2007,,"S","S 2dr",2012,,"Y"
"ASVV47S  2RPIA      ",51282,"ASTON MARTIN","VANTAGE","V8 VANTAGE ROADSTER",2007,,"S","S 2dr Sportshift",2011,,"Y"
"ASVV47AMR2RPIM      ",82366,"ASTON MARTIN","VANTAGE","V8 VANTAGE ROADSTER SPECIAL EDITIONS",2010,,"AMR","AMR 2dr",2017,,"Y"
"ASVV47AMR2RPIA      ",82367,"ASTON MARTIN","VANTAGE","V8 VANTAGE ROADSTER SPECIAL EDITIONS",2010,,"AMR","AMR 2dr Sportshift II",2017,,"Y"
"ASV159S  2CPIM      ",75405,"ASTON MARTIN","VANTAGE","V12 VANTAGE COUPE SPECIAL EDITIONS",2009,,"S","S 2dr",2016,,"Y"
"ASV159S  2CPIA      ",63497,"ASTON MARTIN","VANTAGE","V12 VANTAGE COUPE SPECIAL EDITIONS",2009,,"S","S 2dr Sportshift III",2013,,"Y"
"ASV159AMR2CPIM      ",83846,"ASTON MARTIN","VANTAGE","V12 VANTAGE COUPE SPECIAL EDITIONS",2009,,"AMR","AMR 2dr",2017,,"Y"
"ASV159AMR2CPIA      ",83847,"ASTON MARTIN","VANTAGE","V12 VANTAGE COUPE SPECIAL EDITIONS",2009,,"AMR","AMR 2dr Sportshift III",2017,,"Y"
"ASV159S  2RPIM      ",76642,"ASTON MARTIN","VANTAGE","V12 VANTAGE ROADSTER SPECIAL EDITIONS",2012,,"S","S 2dr",2016,,"Y"
"ASV159S  2RPIA      ",66360,"ASTON MARTIN","VANTAGE","V12 VANTAGE ROADSTER SPECIAL EDITIONS",2012,,"S","S 2dr Sportshift III",2014,,"Y"
"ASV159AMR2RPIM      ",83848,"ASTON MARTIN","VANTAGE","V12 VANTAGE ROADSTER SPECIAL EDITIONS",2012,,"AMR","AMR 2dr",2017,,"Y"
"ASV159AMR2RPIA      ",83849,"ASTON MARTIN","VANTAGE","V12 VANTAGE ROADSTER SPECIAL EDITIONS",2012,,"AMR","AMR 2dr Sportshift III",2017,,"Y"
"ASD959GT 2VPIA  1   ",71620,"ASTON MARTIN","DB9","DB9 CONVERTIBLE",2012,,"GT Volante","V12 GT 2dr Volante Touchtronic Auto",2015,,"Y"
"ASD140   2CPTA      ",81310,"ASTON MARTIN","DB11","DB11 COUPE",2017,,,"V8 2dr Touchtronic Auto",2017,,"Y"
"ASD152   2CPTA      ",74869,"ASTON MARTIN","DB11","DB11 COUPE",2017,,,"V12 2dr Touchtronic Auto",2017,,"Y"
"ASD152AMR2CPTA      ",84617,"ASTON MARTIN","DB11","DB11 COUPE",2017,,"AMR","V12 AMR 2dr Touchtronic Auto",2018,,"Y"
"ASD140VOL2VPTA      ",82732,"ASTON MARTIN","DB11","DB11 CONVERTIBLE",2018,,"Volante","V8 Volante 2dr Touchtronic Auto",2018,,"Y"
